"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 11 10:03:06 IST 2021","Mon Oct 11 10:03:19 IST 2021","13005","","The Internet automation Website: As a user, I want to log in","","The Internet automation Website: As a user, I want to log in","Given I am on the Home page ""http://automationpractice.com/index.php""","Given I am on the Home page ""http://automationpractice.com/index.php""",""
"passed","Mon Oct 11 10:03:21 IST 2021","Mon Oct 11 10:03:22 IST 2021","1422","","The Internet automation Website: As a user, I want to log in","","The Internet automation Website: As a user, I want to log in","And I enter valid tom6smith@gmail.com","And I enter valid tom6smith@gmail.com",""
"passed","Mon Oct 11 10:03:29 IST 2021","Mon Oct 11 10:03:29 IST 2021","0","","The Internet automation Website: As a user, I want to log in","","The Internet automation Website: As a user, I want to log in","","",""
"passed","Mon Oct 11 10:03:22 IST 2021","Mon Oct 11 10:03:25 IST 2021","2779","","The Internet automation Website: As a user, I want to log in","","The Internet automation Website: As a user, I want to log in","And I login with Tom, Smith","And I login with Tom, Smith",""
"passed","Mon Oct 11 10:03:27 IST 2021","Mon Oct 11 10:03:28 IST 2021","1971","","The Internet automation Website: As a user, I want to log in","","The Internet automation Website: As a user, I want to log in","And I click on register button","And I click on register button",""
"broken","Tue Oct 12 01:48:53 IST 2021","Tue Oct 12 01:49:10 IST 2021","16614","","The Internet automation Website","","The Internet automation Website","As a user, I want to place order","As a user, I want to place order",""
"passed","Mon Oct 11 10:03:28 IST 2021","Mon Oct 11 10:03:29 IST 2021","105","","The Internet automation Website: As a user, I want to log in","","The Internet automation Website: As a user, I want to log in","Then validate the Name of user is same as display","Then validate the Name of user is same as display",""
"passed","Mon Oct 11 10:03:25 IST 2021","Mon Oct 11 10:03:26 IST 2021","587","","The Internet automation Website: As a user, I want to log in","","The Internet automation Website: As a user, I want to log in","And I enter TomSmith, Mumbai and Mumbai","And I enter TomSmith, Mumbai and Mumbai",""
"passed","Mon Oct 11 10:03:26 IST 2021","Mon Oct 11 10:03:27 IST 2021","910","","The Internet automation Website: As a user, I want to log in","","The Internet automation Website: As a user, I want to log in","And I enter Arizona, 12345, 1234567890, United States","And I enter Arizona, 12345, 1234567890, United States",""
"passed","Mon Oct 11 10:03:19 IST 2021","Mon Oct 11 10:03:21 IST 2021","1594","","The Internet automation Website: As a user, I want to log in","","The Internet automation Website: As a user, I want to log in","And I click on login module","And I click on login module",""
"passed","Tue Oct 12 01:48:35 IST 2021","Tue Oct 12 01:48:53 IST 2021","17902","","The Internet automation Website","","The Internet automation Website","As a user, I want to log in","As a user, I want to log in",""
"passed","Mon Oct 11 10:03:22 IST 2021","Mon Oct 11 10:03:22 IST 2021","108","","The Internet automation Website: As a user, I want to log in","","The Internet automation Website: As a user, I want to log in","When I click on create account button","When I click on create account button",""
